key_ID,key_type,ekey,nonce
1,Orange,bL5/r'H6K,iF5@khhvF=vd`2nQ
2,Turquoise,tY7#4So9OH<,fL5#H/RyT+l
3,Crimson,fI2+|dz9\Dg)Uc,rW9*>}VrSBfM#sQ
4,Crimson,cC6>fQyZ$QpZr,qG9=2VBb)LO4eJ
5,Orange,vR4\SY*}U~7hA=,pJ8/Vsb/Ug\/
6,Pink,oM1})PAoO,tO8$FINK=ZWuTPN'
7,Indigo,dM9%&FemZMvse~x!,aM2?!1=e3woY*
8,Mauv,"uQ3""Z&r)K""\\",vE3){sT}.OH~
9,Aquamarine,nU1<PFyvHKX,tA0.N1Cwt)R
10,Turquoise,uL2=/p4n,rO2>879iW
11,Blue,oQ7_9*cR)Ss})Kb},uE6>=dPm2lnPN%z
12,Violet,uB1?YcWCd=(,"iK9,F~Lh+TcQ`#"
13,Blue,gN4/AFyxQ,yF3>(a!KAZw
14,Khaki,oB3+&VaVe1sL,iR1\hO$I9s#8
15,Crimson,wP2\BV_N3!I,qS4!ZhHm'
16,Maroon,uX5(@Y4~VUY4G7QM,bV3<lcu\R8B
17,Green,eC3!Q#>e,eO4#%9Gx
18,Fuscia,lC4}keyR94\,"nA3*s?mqC/4""?("
19,Teal,eF7)5!FG)SM'I,rR4<N`=t\>a_
20,Pink,"iA4,R1i/V","uV6=""hRr!efPtC}"
21,Orange,"nV6(P79,*<f",eU2>9Ex(d3%@g!
22,Puce,tS4>dczJaF9P3\#<,"nS7~Of5>Ltr,Sc"
23,Green,wN0}Am}2!`{b(?8,"lI3$3|pz_,8FaQ|)"
24,Indigo,vD8<*q\N,aX1*O{TB
25,Blue,aG0_i~v`_7,mL0_KzXQT>5/r)eQ
26,Maroon,iB9_JV5/h,"iS9&x3""\~"
27,Purple,qL8.iZQd#m5{,"wK3}2|Le)|\f""2w"
28,Yellow,eY3_Xco00w,"bM5{Fk$#JdNN"""
29,Teal,pR9)LiM=+l?MV8B,"mD3.==bR""y>k8h"
30,Crimson,qB6@Dqv8&}PPH,dQ3\10Z9\/`Vb9
31,Green,"gY0_{""s4u",wK3`J2+UBtC
32,Turquoise,"aY8.W""Q*WkLF*","yR0)<S""DsxLmW@v"
33,Goldenrod,xJ9$2nIIpMZo,kX1}Qgj.}l2Zgf?
34,Aquamarine,jB8)2VaA16A)?h4,hZ0@yl8W\pb0{
35,Orange,jB0>f/7~wB1_R.,qU0__U<_Vc
36,Purple,jJ8(6Q#.f%|ppO,"mJ7,1k~6=ZL+B1DJ"
37,Blue,kO4=Jty&gB,eS2$dL=MLlZ8rY9e
38,Red,jB8=S42@,"vS5{I*.""aQ`"
39,Orange,mX2|#DEs'+T9,eS4`1a|0&Tza
40,Turquoise,sA2%G}1oZw)I\NS,oV2(@c@&s.
41,Yellow,vU3!B04<HiPA,"kI8**JJ,a,aSE*U?"
42,Maroon,dH5`n*y}s2b'7,sA4@Gn8cb7*{P1
43,Khaki,"hL8'{Mao|~'6,F",qJ9\KV_)
44,Turquoise,"iH2>""W|'5B",xF3|o9bEEQ
45,Turquoise,vO0$BaNDa@,"aY4,}?=l!)"
46,Orange,"jG4(6Ha)5,?*",fR9@>`JZ8hOq
47,Red,pR5%o6L_zFY%,iW0{8!*`
48,Crimson,cQ1_IR=Ds!,sH7~4_7+SNRjc&l
49,Fuscia,vU7>/k*vp/~c,nO7~aUS`kr\
50,Yellow,lU2{4qgq\U'+Q9qm,pO3&yOw(
51,Blue,"xH5>\S|y"">R%+{F7",qW3<>CoM~G)
52,Pink,jC6|C1&)y!dl,bL6@/EAZKZ
53,Yellow,iJ3'Wjnu,uY0#tNCAV
