ID,First_Name,Last_Name,Sex,Department,Title,Date_Of_Birth,Phone_number,Email,Public_Key,Magic
1,Oralie,Ashburner,Female,Oncology,Surgeon,7/23/1981,202-395-1826,oashburner0@blogtalkradio.com,,
2,Ernestine,Harmston,Female,Oncology,Doctor,3/21/1973,333-758-0368,eharmston1@ed.gov,,
3,Blake,Giacovetti,Female,Oncology,Surgeon,10/24/1994,994-691-1713,bgiacovetti2@i2i.jp,,
4,Rhianon,Dunckley,Female,Oncology,Physician Assistant,4/9/1989,126-420-4709,rdunckley3@bandcamp.com,,
5,Christel,Da Costa,Female,Neurology,Physician Assistant,8/12/1979,101-184-9653,cdacosta4@google.es,,
6,Amye,Gribble,Female,Orthopedics,Surgeon,3/3/1982,162-255-8277,agribble5@ebay.co.uk,,
7,Mikkel,Gabitis,Male,Cardiology,Doctor,8/2/1986,220-735-8503,mgabitis6@macromedia.com,,
8,Russ,Rummin,Male,Pediatrics,Nurse Practitioner,1/18/1992,986-874-5954,rrummin7@sourceforge.net,,
9,Ulrikaumeko,Payn,Bigender,Orthopedics,Surgeon,3/12/1978,895-596-2026,upayn8@samsung.com,,
10,Rebecca,Berk,Female,Oncology,Surgeon,1/31/1973,213-321-0619,rberk9@arstechnica.com,,
11,Carr,Pledger,Male,Cardiology,Physician Assistant,5/12/1997,103-249-8923,cpledgera@wunderground.com,,
12,Phip,McMeekan,Male,Orthopedics,Physician Assistant,5/16/1964,695-914-6190,pmcmeekanb@typepad.com,,
13,Torrey,Whyman,Male,Cardiology,Physician Assistant,7/31/1978,501-663-7342,twhymanc@java.com,,
14,Alexander,Reedyhough,Male,Neurology,Physician Assistant,7/9/1992,350-275-0335,areedyhoughd@ehow.com,,
15,Alicia,Laycock,Female,Neurology,Nurse Practitioner,8/12/1955,200-922-3586,alaycocke@meetup.com,,
16,Caron,Brusin,Female,Oncology,Nurse Practitioner,4/29/1973,598-389-5784,cbrusinf@list-manage.com,,
17,Charlotta,McCardle,Female,Oncology,Physician Assistant,12/6/1977,589-646-1183,cmccardleg@walmart.com,,
18,Whittaker,Portingale,Male,Pediatrics,Surgeon,4/19/1968,562-240-9969,wportingaleh@51.la,,
19,Jackie,Lansdale,Male,Orthopedics,Surgeon,3/9/1998,960-638-7244,jlansdalei@ocn.ne.jp,,
20,Chancey,Lozano,Male,Pediatrics,Physician Assistant,10/3/1972,521-536-4338,clozanoj@netlog.com,,
